datetime_beginning_ept,total_lmp_da
2024-06-28T11:00:00,18.334067
2024-06-28T12:00:00,25.706382
2024-06-28T13:00:00,31.665288
2024-06-28T14:00:00,31.477672
2024-06-28T15:00:00,32.880078
2024-06-28T16:00:00,39.303973
2024-06-28T17:00:00,39.182429
2024-06-28T18:00:00,38.419947
2024-06-28T19:00:00,38.794956
2024-06-28T20:00:00,33.201345
2024-06-28T21:00:00,33.306021
2024-06-28T22:00:00,27.123173
2024-06-28T23:00:00,24.634989
2024-06-29T00:00:00,17.455024
2024-06-29T01:00:00,14.898144
2024-06-29T02:00:00,15.051381
2024-06-29T03:00:00,11.904976
2024-06-29T04:00:00,10.610229
2024-06-29T05:00:00,10.13252
2024-06-29T06:00:00,10.844711
2024-06-29T07:00:00,11.673995
2024-06-29T08:00:00,16.383403
2024-06-29T09:00:00,22.294484
2024-06-29T10:00:00,23.720718
2024-06-29T11:00:00,26.768073
2024-06-29T12:00:00,35.053259
2024-06-29T13:00:00,36.923966
2024-06-29T14:00:00,34.5129
2024-06-29T15:00:00,37.475881
2024-06-29T16:00:00,42.330649
2024-06-29T17:00:00,51.964103
2024-06-29T18:00:00,51.334802
2024-06-29T19:00:00,43.70241
2024-06-29T20:00:00,35.846197
2024-06-29T21:00:00,30.275592
2024-06-29T22:00:00,25.210113
2024-06-29T23:00:00,15.78749
2024-06-30T00:00:00,17.621846
2024-06-30T01:00:00,13.793856
2024-06-30T02:00:00,11.240412
2024-06-30T03:00:00,11.224908
2024-06-30T04:00:00,11.966069
2024-06-30T05:00:00,9.933024
2024-06-30T06:00:00,9.179729
2024-06-30T07:00:00,9.466098
2024-06-30T08:00:00,11.519706
2024-06-30T09:00:00,14.72014
2024-06-30T10:00:00,15.220395
2024-06-30T11:00:00,12.733301
2024-06-30T12:00:00,22.842788
2024-06-30T13:00:00,25.187291
2024-06-30T14:00:00,12.041536
2024-06-30T15:00:00,12.468834
2024-06-30T16:00:00,12.469428
2024-06-30T17:00:00,27.457931
2024-06-30T18:00:00,25.645385
2024-06-30T19:00:00,12.480571
2024-06-30T20:00:00,13.031502
2024-06-30T21:00:00,17.783425
2024-06-30T22:00:00,13.025563
2024-06-30T23:00:00,11.290068
2024-07-01T00:00:00,11.066263
2024-07-01T01:00:00,9.952501
2024-07-01T02:00:00,8.291508
2024-07-01T03:00:00,6.688448
2024-07-01T04:00:00,4.451701
2024-07-01T05:00:00,5.747079
2024-07-01T06:00:00,8.610537
2024-07-01T07:00:00,10.580503
2024-07-01T08:00:00,13.490997
2024-07-01T09:00:00,14.255723
2024-07-01T10:00:00,14.363422
2024-07-01T11:00:00,16.660325
2024-07-01T12:00:00,19.330308
2024-07-01T13:00:00,22.694494
2024-07-01T14:00:00,22.537202
2024-07-01T15:00:00,23.835486
2024-07-01T16:00:00,25.976157
2024-07-01T17:00:00,30.726476
2024-07-01T18:00:00,30.75869
2024-07-01T19:00:00,26.028263
2024-07-01T20:00:00,22.44299
2024-07-01T21:00:00,19.121917
2024-07-01T22:00:00,12.564497
2024-07-01T23:00:00,10.415017
2024-07-02T00:00:00,7.226906
2024-07-02T01:00:00,5.297468
2024-07-02T02:00:00,4.156707
2024-07-02T03:00:00,2.548557
2024-07-02T04:00:00,-0.996851
2024-07-02T05:00:00,1.828725
2024-07-02T06:00:00,4.761249
2024-07-02T07:00:00,6.38762
2024-07-02T08:00:00,11.563958
